Type,Side1,Unum1,Time1,Mode1,X1,Y1,Side2,Unum2,Time2,X2,Y2,Success
Interception,left,7,2396,play_on,31.4888,-7.4954,right,6,2401,37.6538,-0.4683,true
Interception,right,6,2401,play_on,37.6538,-0.4683,left,10,2402,38.0149,-0.868,true
Pass,left,10,2402,play_on,38.0149,-0.868,left,4,2435,49.5372,-30.1029,true
Interception,left,4,2435,play_on,49.5372,-30.1029,right,5,2436,48.8617,-28.7304,true
Interception,right,5,2436,play_on,48.8617,-28.7304,left,10,2534,50.1876,-28.069,true
Pass,left,10,2534,free_kick_l,50.1876,-28.069,left,7,2539,38.5737,-26.0032,true
Dribble,left,7,2540,play_on,38.8118,-26.0407,left,7,2546,37.6421,-23.0922,true
Pass,left,7,2547,play_on,36.9852,-23.7371,left,4,2551,33.1594,-24.8462,true
Dribble,left,4,2551,play_on,33.1594,-24.8462,left,4,2554,34.2681,-24.389,true
Pass,left,4,2554,play_on,34.2681,-24.389,left,7,2557,33.7703,-19.7501,true
Pass,left,7,2560,play_on,33.9163,-20.3426,left,4,2563,33.2634,-25.385,true
Pass,left,4,2564,play_on,33.4269,-25.4717,left,10,2575,47.0985,-21.2951,true
Pass,left,10,2576,play_on,47.4491,-20.5306,left,11,2580,47.0529,-11.5554,true
Dribble,left,11,2580,play_on,47.0529,-11.5554,left,11,2583,48.4268,-9.2869,true
Shoot,left,11,2583,play_on,48.4268,-9.2869,neutral,-1,2585,52.7337,-6.2039,true
Interception,left,11,2583,play_on,48.4268,-9.2869,right,11,2588,0,0,true
Pass,right,11,2588,kick_off_r,0,0,right,6,2591,5.2104,1.5203,true
Pass,right,6,2592,play_on,4.9047,1.0887,right,11,2595,-0.5583,2.1979,true
Dribble,right,11,2595,play_on,-0.5583,2.1979,right,11,2601,-1.754,6.5,true
Pass,right,11,2602,play_on,-0.6781,6.4083,right,7,2608,1.7675,12.1773,true
Pass,right,7,2608,play_on,1.7675,12.1773,right,9,2613,-6.3324,18.8896,true
Dribble,right,9,2615,play_on,-6.5509,18.5747,right,9,2619,-8.7174,18.711,true
Interception,right,9,2619,play_on,-8.7174,18.711,left,8,2622,-10.8108,18.8559,true
Pass,left,8,2622,play_on,-10.8108,18.8559,left,5,2628,-15.9462,27.4709,true
Dribble,left,5,2628,play_on,-15.9462,27.4709,left,5,2635,-12.0762,29.8621,true
Pass,left,5,2635,play_on,-12.0762,29.8621,left,9,2639,-4.2371,24.9699,true
Pass,left,9,2640,play_on,-4.2602,23.8856,left,8,2643,-5.9787,18.8463,true
Pass,left,8,2644,play_on,-4.8016,18.5326,left,11,2655,14.1066,7.9686,true
Dribble,left,11,2656,play_on,15.3562,7.5457,left,11,2673,28.4723,11.9518,true
OutOfBounds,left,11,2673,play_on,28.4723,11.9518,neutral,-1,2699,45.8088,34,false
Pass,right,4,2713,kick_in_r,45.8088,34,right,2,2720,47.4019,27.1371,true
Pass,right,2,2722,play_on,46.9438,26.8676,right,4,2724,45.5941,27.7088,true
Pass,right,4,2724,play_on,45.5941,27.7088,right,2,2725,46.2542,27.7887,true
Pass,right,2,2725,play_on,46.2542,27.7887,right,4,2726,46.1507,28.1156,true
Pass,right,4,2727,play_on,44.9642,27.9805,right,9,2735,26.145,27.4581,true
Dribble,right,9,2735,play_on,26.145,27.4581,right,9,2743,19.9503,26.992,true
Dribble,right,9,2743,play_on,19.9503,26.992,right,9,2749,15.5555,27.2719,true
Dribble,right,9,2749,play_on,15.5555,27.2719,right,9,2752,13.4108,27.4899,true
Dribble,right,9,2752,play_on,13.4108,27.4899,right,9,2757,9.5833,27.713,true
Dribble,right,9,2757,play_on,9.5833,27.713,right,9,2763,4.9077,27.8523,true
Dribble,right,9,2763,play_on,4.9077,27.8523,right,9,2770,0.7507,25.9945,true
Dribble,right,9,2770,play_on,0.7507,25.9945,right,9,2773,-1.2103,24.9459,true
Dribble,right,9,2773,play_on,-1.2103,24.9459,right,9,2777,-3.5878,23.7576,true
Dribble,right,9,2777,play_on,-3.5878,23.7576,right,9,2781,-6.1592,22.586,true
Dribble,right,9,2781,play_on,-6.1592,22.586,right,9,2784,-7.9325,21.8263,true
Dribble,right,9,2784,play_on,-7.9325,21.8263,right,9,2789,-10.7489,21.9031,true
Pass,right,9,2789,play_on,-10.7489,21.9031,right,11,2794,-16.593,12.8794,true
Pass,right,11,2794,play_on,-16.593,12.8794,right,10,2799,-12.5425,2.9926,true
Dribble,right,10,2799,play_on,-12.5425,2.9926,right,10,2801,-12.8789,2.5647,true
Pass,right,10,2803,play_on,-14.4701,2.1999,right,11,2812,-26.8465,4.5315,true
Interception,right,11,2812,play_on,-26.8465,4.5315,left,3,2820,-33.2615,3.2932,true
Interception,left,3,2820,play_on,-33.2615,3.2932,right,11,2835,-33.1078,4.7581,true
Pass,right,11,2835,free_kick_r,-33.1078,4.7581,right,9,2842,-42.1274,14.3407,true
Dribble,right,9,2842,play_on,-42.1274,14.3407,right,9,2847,-44.9979,13.8117,true
Dribble,right,9,2847,play_on,-44.9979,13.8117,right,9,2851,-47.5501,12.7767,true
Dribble,right,9,2851,play_on,-47.5501,12.7767,right,9,2853,-48.398,12.0168,true
Dribble,right,9,2853,play_on,-48.398,12.0168,right,9,2855,-48.8464,12.996,true
Dribble,right,9,2856,play_on,-48.9728,13.6045,right,9,2859,-50.419,13.4463,true
Interception,right,9,2860,play_on,-50.5472,12.8578,left,2,2864,-46.1803,5.1204,true
Pass,left,2,2865,play_on,-45.6828,5.1973,left,8,2870,-36.1061,8.1573,true
Pass,left,8,2870,play_on,-36.1061,8.1573,left,9,2877,-24.2454,18.7819,true
Dribble,left,9,2877,play_on,-24.2454,18.7819,left,9,2886,-22.7499,18.8722,true
Dribble,left,9,2886,play_on,-22.7499,18.8722,left,9,2891,-21.0848,18.3207,true
Dribble,left,9,2891,play_on,-21.0848,18.3207,left,9,2893,-20.5088,17.8523,true
Pass,left,9,2893,play_on,-20.5088,17.8523,left,8,2898,-16.4377,15.7376,true
Dribble,left,8,2898,play_on,-16.4377,15.7376,left,8,2902,-14.5385,15.5729,true
Dribble,left,8,2902,play_on,-14.5385,15.5729,left,8,2909,-12.214,17.4455,true
Dribble,left,8,2909,play_on,-12.214,17.4455,left,8,2918,-8.8895,17.6486,true
Dribble,left,8,2918,play_on,-8.8895,17.6486,left,8,2923,-6.3606,16.5957,true
Pass,left,8,2924,play_on,-7.3175,17.3717,left,9,2930,-11.9396,22.0958,true
Pass,left,9,2932,play_on,-11.5549,22.6112,left,8,2936,-2.4493,17.1343,true
Dribble,left,8,2937,play_on,-2.375,16.5991,left,8,2940,-2.088,16.8305,true
Dribble,left,8,2940,play_on,-2.088,16.8305,left,8,2944,-1.3923,17.7187,true
Pass,left,8,2944,play_on,-1.3923,17.7187,left,9,2951,-8.684,21.9243,true
Interception,left,9,2953,play_on,-8.0599,22.4735,right,2,2961,2.5862,20.2344,true
Dribble,right,2,2961,play_on,2.5862,20.2344,right,2,2966,0.4497,23.4874,true
Pass,right,2,2968,play_on,-0.5258,23.2548,right,11,2974,-9.2144,14.5952,true
Pass,right,11,2974,play_on,-9.2144,14.5952,right,7,2979,-12.4566,19.7468,true
Dribble,right,7,2980,play_on,-12.5067,19.1691,right,7,2985,-15.1903,21.3326,true
Dribble,right,7,2985,play_on,-15.1903,21.3326,right,7,2989,-17.3002,22.1018,true
Pass,right,7,2989,play_on,-17.3002,22.1018,right,9,2993,-22.0462,16.4714,true
Pass,right,9,2993,play_on,-22.0462,16.4714,right,11,3003,0,0,true
Pass,right,11,3003,kick_off_r,0,0,right,6,3005,3.6898,1.356,true
Dribble,right,6,3005,play_on,3.6898,1.356,right,6,3009,1.8447,2.0786,true
Pass,right,6,3009,play_on,1.8447,2.0786,right,11,3012,0.2582,0.9916,true
Pass,right,11,3012,play_on,0.2582,0.9916,right,6,3013,0.8962,2.1915,true
Pass,right,6,3014,play_on,1.4307,1.8618,right,8,3020,4.2882,-7.5559,true
Dribble,right,8,3021,play_on,3.726,-7.7476,right,8,3024,2.3978,-7.9707,true
Dribble,right,8,3024,play_on,2.3978,-7.9707,right,8,3027,1.6849,-8.9267,true
Pass,right,8,3027,play_on,1.6849,-8.9267,right,10,3032,-4.5864,-17.3664,true
Dribble,right,10,3034,play_on,-4.8933,-18.1479,right,10,3037,-5.146,-19.7339,true
Interception,right,10,3037,play_on,-5.146,-19.7339,left,7,3041,-5.487,-22.1293,true
OutOfBounds,left,7,3041,play_on,-5.487,-22.1293,neutral,-1,3046,-3.6289,-34,false
Pass,right,5,3079,kick_in_r,-3.6289,-34,right,8,3083,-8.4657,-30.2995,true
Dribble,right,8,3083,play_on,-8.4657,-30.2995,right,8,3089,-11.8383,-31.3002,true
MultiTouch,right,8,3091,play_on,-11.011,-32.2724,neutral,-1,3092,-11.758,-32.3009,false
OutOfBounds,left,10,3092,play_on,-11.758,-32.3009,neutral,-1,3094,-12.7459,-34,false
Pass,right,5,3126,kick_in_r,-12.7459,-34,right,8,3130,-17.8734,-28.6069,true
Dribble,right,8,3131,play_on,-18.6156,-28.9226,right,8,3134,-20.123,-29.5705,true
Dribble,right,8,3134,play_on,-20.123,-29.5705,right,8,3137,-21.446,-30.5379,true
Interception,right,8,3137,play_on,-21.446,-30.5379,left,10,3142,-21.6975,-32.6622,true
Interception,left,10,3142,play_on,-21.6975,-32.6622,right,8,3157,-21.0014,-31.5516,true
Pass,right,8,3157,free_kick_r,-21.0014,-31.5516,right,10,3161,-30.6552,-32.3462,true
MultiTouch,right,10,3162,play_on,-32.065,-32.3893,neutral,-1,3164,-33.2595,-32.156,false
OutOfBounds,right,10,3164,play_on,-33.2595,-32.156,neutral,-1,3179,-47,-9.16,false
Pass,left,6,3253,goal_kick_l,-47,-9.16,left,4,3264,-42.8995,-22.1483,true
Dribble,left,4,3266,play_on,-42.5475,-23.117,left,4,3273,-38.5194,-23.6489,true
Pass,left,4,3273,play_on,-38.5194,-23.6489,left,7,3277,-28.6777,-19.7191,true
Pass,left,7,3279,play_on,-27.5506,-19.5812,left,10,3289,-21.814,-30.6812,true
Dribble,left,10,3289,play_on,-21.814,-30.6812,left,10,3294,-17.4921,-31.253,true
Dribble,left,10,3294,play_on,-17.4921,-31.253,left,10,3300,-13.9437,-32.8624,true
Dribble,left,10,3300,play_on,-13.9437,-32.8624,left,10,3305,-10.3407,-32.3086,true
Dribble,left,10,3306,play_on,-10.344,-31.9064,left,10,3316,-4.9329,-28.4645,true
Dribble,left,10,3316,play_on,-4.9329,-28.4645,left,10,3323,-0.2964,-27.4468,true
Pass,left,10,3323,play_on,-0.2964,-27.4468,left,7,3327,-1.0481,-22.4229,true
Pass,left,7,3327,play_on,-1.0481,-22.4229,left,8,3336,0.7846,-1.8712,true
Dribble,left,8,3336,play_on,0.7846,-1.8712,left,8,3338,2.2834,-1.8801,true
Dribble,left,8,3338,play_on,2.2834,-1.8801,left,8,3343,4.1975,-1.0345,true
Pass,left,8,3344,play_on,4.0551,-1.6792,left,7,3349,4.8526,-13.3904,true
Dribble,left,7,3350,play_on,5.5731,-13.4196,left,7,3355,7.1192,-11.1784,true
Pass,left,7,3355,play_on,7.1192,-11.1784,left,11,3358,13.6343,-6.9891,true
Pass,left,11,3360,play_on,13.7654,-6.0916,left,9,3366,20.0062,6.8458,true
Pass,left,9,3369,play_on,20.3516,6.1113,left,10,3395,49.0132,-24.9468,true
Dribble,left,10,3397,play_on,49.1146,-25.3561,left,10,3400,48.9893,-24.1732,true
Dribble,left,10,3401,play_on,48.1191,-24.0376,left,10,3409,42.9225,-21.8719,true
Dribble,left,10,3409,play_on,42.9225,-21.8719,left,10,3419,36.0987,-24.7717,true
Pass,left,10,3420,play_on,35.3175,-23.8831,left,7,3424,30.2524,-14.4846,true
Dribble,left,7,3424,play_on,30.2524,-14.4846,left,7,3426,30.4795,-14.6162,true
Pass,left,7,3426,play_on,30.4795,-14.6162,left,4,3433,24.5414,-29.0843,true
Pass,left,4,3435,play_on,25.487,-28.3462,left,10,3440,37.3842,-27.0178,true
Interception,left,10,3441,play_on,38.5393,-26.0203,right,2,3450,42.7315,-9.6016,true
Pass,right,2,3453,play_on,42.1514,-8.9068,right,7,3457,34.6122,-6.1799,true
Pass,right,7,3461,play_on,33.417,-5.8869,right,11,3467,18.1993,-4.2235,true
Pass,right,11,3467,play_on,18.1993,-4.2235,right,9,3475,12.0592,7.4565,true
Dribble,right,9,3475,play_on,12.0592,7.4565,right,9,3479,9.4246,7.7454,true
Dribble,right,9,3479,play_on,9.4246,7.7454,right,9,3486,4.99,9.2089,true
Pass,right,9,3486,play_on,4.99,9.2089,right,11,3490,2.4929,5.6518,true
Dribble,right,11,3490,play_on,2.4929,5.6518,right,11,3495,-1.1977,7.515,true
Dribble,right,11,3495,play_on,-1.1977,7.515,right,11,3501,-5.6813,9.488,true
Pass,right,11,3501,play_on,-5.6813,9.488,right,9,3505,-8.7151,15.8154,true
Dribble,right,9,3505,play_on,-8.7151,15.8154,right,9,3512,-9.8254,20.5047,true
Dribble,right,9,3512,play_on,-9.8254,20.5047,right,9,3517,-12.8661,21.5158,true
Dribble,right,9,3517,play_on,-12.8661,21.5158,right,9,3522,-15.6694,21.624,true
Dribble,right,9,3522,play_on,-15.6694,21.624,right,9,3526,-18.5851,21.8837,true
Pass,right,9,3526,play_on,-18.5851,21.8837,right,11,3533,-24.5907,14.4323,true
Pass,right,11,3534,play_on,-24.191,15.2027,right,9,3538,-25.2531,22.8734,true
Dribble,right,9,3538,play_on,-25.2531,22.8734,right,9,3544,-25.5177,26.795,true
Dribble,right,9,3544,play_on,-25.5177,26.795,right,9,3548,-26.3841,29.3328,true
Dribble,right,9,3548,play_on,-26.3841,29.3328,right,9,3554,-28.7247,32.1341,true
Dribble,right,9,3554,play_on,-28.7247,32.1341,right,9,3560,-32.7647,32.5357,true
Dribble,right,9,3560,play_on,-32.7647,32.5357,right,9,3564,-35.571,32.9087,true
Dribble,right,9,3568,play_on,-35.4097,33.5581,right,9,3574,-31.5626,32.3188,true
Dribble,right,9,3574,play_on,-31.5626,32.3188,right,9,3578,-29.5544,32.3934,true
Pass,right,9,3580,play_on,-29.6469,31.8533,right,6,3589,-16.084,17.3035,true
Dribble,right,6,3589,play_on,-16.084,17.3035,right,6,3593,-18.2412,17.6033,true
Pass,right,6,3593,play_on,-18.2412,17.6033,right,9,3614,-43.9987,24.3396,true
Interception,right,9,3614,play_on,-43.9987,24.3396,left,5,3708,-28.9606,31.7699,true
Pass,left,5,3708,free_kick_l,-28.9606,31.7699,left,8,3711,-26.016,27.9887,true
Dribble,left,8,3712,play_on,-25.4878,28.0697,left,8,3715,-23.8169,27.6835,true
MultiTouch,left,8,3715,play_on,-23.8169,27.6835,neutral,-1,3717,-24.5336,27.6484,false
OutOfBounds,right,9,3717,play_on,-24.5336,27.6484,neutral,-1,3721,-31.6257,34,false
Pass,left,5,3814,kick_in_l,-31.6257,34,left,8,3818,-24.9362,31.1801,true
Pass,left,8,3818,play_on,-24.9362,31.1801,left,9,3827,-8.2559,29.9662,true
Dribble,left,9,3827,play_on,-8.2559,29.9662,left,9,3832,-6.2446,28.4181,true
Dribble,left,9,3832,play_on,-6.2446,28.4181,left,9,3836,-4.6056,28.1084,true
Dribble,left,9,3837,play_on,-3.5982,27.6682,left,9,3843,0.1523,26.7216,true
Dribble,left,9,3843,play_on,0.1523,26.7216,left,9,3849,3.0524,24.3232,true
Dribble,left,9,3850,play_on,3.7591,24.5143,left,9,3856,7.5128,22.9288,true
Pass,left,9,3856,play_on,7.5128,22.9288,left,11,3860,8.2876,16.1153,true
Dribble,left,11,3860,play_on,8.2876,16.1153,left,11,3864,6.0967,16.7651,true
Interception,left,11,3864,play_on,6.0967,16.7651,right,6,3870,3.702,14.5734,true
Interception,right,6,3870,play_on,3.702,14.5734,left,8,3968,5.1576,15.1959,true
Pass,left,8,3968,free_kick_l,5.1576,15.1959,left,7,3973,1.1281,4.092,true
Pass,left,7,3974,play_on,1.7214,3.3962,left,4,3985,13.7548,-17.3877,true
Dribble,left,4,3986,play_on,14.0695,-16.4908,left,4,3994,16.4105,-12.1241,true
Interception,left,4,3998,play_on,17.0576,-12.2716,right,3,4003,27.8546,-13.5749,true
Pass,right,3,4005,play_on,27.3422,-13.1118,right,8,4010,17.8154,-9.8767,true
Pass,right,8,4012,play_on,17.1185,-10.0745,right,10,4018,6.6894,-13.4973,true
Pass,right,10,4018,play_on,6.6894,-13.4973,right,11,4023,-1.3862,-9.1559,true
Dribble,right,11,4023,play_on,-1.3862,-9.1559,right,11,4028,-1.0135,-10.9126,true
Dribble,right,11,4028,play_on,-1.0135,-10.9126,right,11,4031,-2.3507,-11.1623,true
Interception,right,11,4031,play_on,-2.3507,-11.1623,left,7,4032,-2.7113,-10.6423,true
Interception,left,7,4032,play_on,-2.7113,-10.6423,right,6,4036,-1.1677,-11.0377,true
Pass,right,6,4036,free_kick_r,-1.1677,-11.0377,right,7,4041,-3.2928,-1.5638,true
Dribble,right,7,4041,play_on,-3.2928,-1.5638,right,7,4047,-5.9321,-3.8887,true
Dribble,right,7,4047,play_on,-5.9321,-3.8887,right,7,4052,-8.7528,-3.0455,true
Dribble,right,7,4052,play_on,-8.7528,-3.0455,right,7,4055,-9.2701,-2.0993,false
Interception,right,7,4055,play_on,-9.2701,-2.0993,left,7,4149,-8.5512,-2.9524,true
Pass,left,7,4149,free_kick_l,-8.5512,-2.9524,left,4,4160,-5.3145,-20.4452,true
Pass,left,4,4161,play_on,-4.241,-21.4477,left,10,4179,24.2262,-29.6181,true
Dribble,left,10,4179,play_on,24.2262,-29.6181,left,10,4198,41.5416,-22.7426,true
Dribble,left,10,4198,play_on,41.5416,-22.7426,left,10,4208,45.9649,-16.3911,true
Dribble,left,10,4210,play_on,47.1745,-16.6901,left,10,4213,47.4042,-14.6673,true
Dribble,left,10,4213,play_on,47.4042,-14.6673,left,10,4215,47.9167,-14.2484,true
Pass,left,10,4215,play_on,47.9167,-14.2484,left,9,4221,40.6133,-6.2491,true
Shoot,left,9,4223,play_on,40.9742,-5.629,neutral,-1,4228,54.8962,-6.5802,true
Interception,left,9,4223,play_on,40.9742,-5.629,right,11,4231,0,0,true
Pass,right,11,4231,kick_off_r,0,0,right,6,4234,5.3092,1.4253,true
Pass,right,6,4234,play_on,5.3092,1.4253,right,11,4239,-1.5051,0.4743,true
Dribble,right,11,4239,play_on,-1.5051,0.4743,right,11,4243,-1.4611,-1.4662,true
Pass,right,11,4243,play_on,-1.4611,-1.4662,right,8,4248,1.4168,-8.7486,true
Pass,right,8,4248,play_on,1.4168,-8.7486,right,10,4253,-4.5775,-17.7853,true
Interception,right,10,4253,play_on,-4.5775,-17.7853,left,10,4259,-6.0314,-21.317,true
OutOfBounds,left,10,4259,play_on,-6.0314,-21.317,neutral,-1,4266,-5.6747,-34,false
Pass,right,5,4301,kick_in_r,-5.6747,-34,right,8,4306,-10.9034,-30.6545,true
Dribble,right,8,4306,play_on,-10.9034,-30.6545,right,8,4311,-13.6229,-31.956,true
Interception,right,8,4311,play_on,-13.6229,-31.956,left,10,4314,-14.9875,-31.8519,true
OutOfBounds,left,10,4314,play_on,-14.9875,-31.8519,neutral,-1,4316,-16.8626,-34,false
Pass,right,5,4355,kick_in_r,-16.8626,-34,right,8,4359,-22.0944,-29.0398,true
Dribble,right,8,4361,play_on,-21.8697,-29.8756,right,8,4364,-21.8482,-31.0632,true
Dribble,right,8,4364,play_on,-21.8482,-31.0632,right,8,4367,-21.2687,-32.5656,true
Pass,right,8,4367,play_on,-21.2687,-32.5656,right,5,4375,-13.4629,-30.5495,true
Pass,right,5,4375,play_on,-13.4629,-30.5495,right,6,4381,-7.9323,-18.6251,true
MultiTouch,right,6,4382,play_on,-6.8107,-18.7577,neutral,-1,4388,-9.3124,-22.1308,false
Pass,left,8,4398,play_on,-9.5138,-5.8122,left,11,4402,-6.9968,-11.9724,true
MultiTouch,left,11,4403,play_on,-6.3961,-11.6718,neutral,-1,4404,-5.9213,-12.4828,false
Pass,right,7,4419,play_on,-3.9731,5.5689,right,3,4426,5.4521,-2.0988,true
Dribble,right,3,4426,play_on,5.4521,-2.0988,right,3,4431,3.4587,-4.8185,true
Interception,right,3,4433,play_on,4.1686,-4.3397,left,11,4434,4.6174,-4.2732,true
Interception,left,11,4434,play_on,4.6174,-4.2732,right,6,4440,2.9663,-4.0541,true
Pass,right,6,4440,free_kick_r,2.9663,-4.0541,right,8,4445,-3.9411,-13.4216,true
Dribble,right,8,4446,play_on,-3.9602,-13.125,right,8,4448,-3.749,-12.4231,true
Dribble,right,8,4448,play_on,-3.749,-12.4231,right,8,4453,-4.583,-10.2009,true
Pass,right,8,4453,play_on,-4.583,-10.2009,right,11,4456,-10.4853,-8.7106,true
Pass,right,11,4456,play_on,-10.4853,-8.7106,right,10,4460,-13.0306,-16.7172,true
Dribble,right,10,4462,play_on,-14.0101,-17.3439,right,10,4467,-15.73,-19.5188,true
Dribble,right,10,4468,play_on,-16.2962,-19.8828,right,10,4473,-18.5479,-20.8149,true
Dribble,right,10,4473,play_on,-18.5479,-20.8149,right,10,4475,-19.8895,-20.918,true
Pass,right,10,4475,play_on,-19.8895,-20.918,right,11,4477,-21.3852,-19.4366,true
Dribble,right,11,4477,play_on,-21.3852,-19.4366,right,11,4480,-23.304,-18.9623,true
Dribble,right,11,4480,play_on,-23.304,-18.9623,right,11,4484,-25.5553,-19.4116,true
Dribble,right,11,4484,play_on,-25.5553,-19.4116,right,11,4490,-27.8515,-16.1727,true
Pass,right,11,4490,play_on,-27.8515,-16.1727,right,9,4495,-30.1178,-4.9417,true
Dribble,right,9,4496,play_on,-29.8299,-4.1935,right,9,4501,-32.5543,-2.2014,true
Pass,left,1,4597,free_kick_l,-42.6341,-12.1198,left,7,4604,-26.7928,-12.114,true
Dribble,left,7,4604,play_on,-26.7928,-12.114,left,7,4608,-25.7249,-12.1328,true
Interception,left,7,4609,play_on,-26.899,-12.7323,right,10,4610,-26.3632,-12.9403,true
Interception,right,10,4610,play_on,-26.3632,-12.9403,left,2,4704,-25.5203,-14.4335,true
Pass,left,2,4704,free_kick_l,-25.5203,-14.4335,left,10,4715,-8.8103,-28.8436,true
Dribble,left,10,4716,play_on,-8.1797,-29.6693,left,10,4719,-7.177,-29.7119,true
Pass,left,10,4720,play_on,-6.0125,-28.4496,left,11,4729,5.4065,-18.128,true
Pass,left,11,4730,play_on,5.4933,-18.2519,left,10,4738,3.987,-24.486,true
Dribble,left,10,4741,play_on,3.8415,-24.0913,left,10,4750,7.6828,-30.7469,true
Dribble,left,10,4750,play_on,7.6828,-30.7469,left,10,4755,10.6255,-32.2288,true
Pass,left,10,4755,play_on,10.6255,-32.2288,left,11,4779,35.728,-22.287,true
Dribble,left,11,4779,play_on,35.728,-22.287,left,11,4792,45.9715,-25.7728,true
Dribble,left,11,4793,play_on,46.2825,-24.878,left,11,4800,47.3196,-20.4603,true
Pass,left,11,4800,play_on,47.3196,-20.4603,left,10,4803,43.0862,-16.4008,true
Pass,left,10,4804,play_on,43.5464,-15.9837,left,9,4808,44.2141,-7.7734,true
MultiTouch,left,9,4808,play_on,44.2141,-7.7734,neutral,-1,4810,44.3107,-7.0849,false
Pass,right,11,4821,play_on,27.7617,-5.2066,right,9,4830,12.4131,7.9914,true
Dribble,right,9,4830,play_on,12.4131,7.9914,right,9,4838,8.3548,3.967,true
Dribble,right,9,4838,play_on,8.3548,3.967,right,9,4846,3.0668,5.5124,true
Dribble,right,9,4846,play_on,3.0668,5.5124,right,9,4852,-0.258,4.9427,true
Pass,right,9,4852,play_on,-0.258,4.9427,right,11,4855,-2.2112,2.6021,true
Dribble,right,11,4855,play_on,-2.2112,2.6021,right,11,4859,-5.2362,2.7438,true
MultiTouch,right,11,4861,play_on,-4.5287,3.6679,neutral,-1,4862,-4.6865,2.8258,false
Pass,right,10,4885,play_on,5.8231,-20.5396,right,8,4892,9.6463,-9.5622,true
MultiTouch,right,8,4894,play_on,10.3655,-9.9329,neutral,-1,4895,10.378,-10.0805,false
Pass,left,10,4901,play_on,10.1423,-18.5622,left,7,4906,0.7665,-14.754,true
Pass,left,7,4907,play_on,1.3226,-14.6087,left,10,4912,12.4107,-20.8473,true
Dribble,left,10,4913,play_on,12.9193,-21.4271,left,10,4918,15.654,-21.62,true
Dribble,left,10,4918,play_on,15.654,-21.62,left,10,4932,25.3811,-29.3064,true
Dribble,left,10,4932,play_on,25.3811,-29.3064,left,10,4939,24.3203,-33.6561,true
Pass,left,10,4940,play_on,23.7928,-33.6689,left,4,4946,10.1387,-31.2499,true
Dribble,left,4,4947,play_on,10.5885,-30.6996,left,4,4953,14.5578,-31.1403,true
Pass,left,4,4953,play_on,14.5578,-31.1403,left,10,4957,24.4208,-31.0229,true
Dribble,left,10,4958,play_on,25.0605,-31.3765,left,10,4961,25.4877,-29.3857,true
Pass,left,10,4963,play_on,25.2456,-29.0418,left,7,4970,20.2233,-18.8474,true
Dribble,left,7,4970,play_on,20.2233,-18.8474,left,7,4974,18.107,-18.2331,true
Dribble,left,7,4974,play_on,18.107,-18.2331,left,7,4979,17.7727,-16.2954,true
Pass,left,7,4981,play_on,17.5116,-15.3877,left,8,4988,15.5706,0.8883,true
Dribble,left,8,4992,play_on,16.7022,0.3757,left,8,4994,17.1565,1.2851,true
Pass,left,8,4996,play_on,16.8768,1.6592,left,5,5008,10.1198,21.5649,true
Dribble,left,5,5008,play_on,10.1198,21.5649,left,5,5012,13.0163,21.9806,true
Dribble,left,5,5012,play_on,13.0163,21.9806,left,5,5015,14.856,21.7633,true
Pass,left,5,5015,play_on,14.856,21.7633,left,9,5021,27.9564,21.441,true
Pass,left,9,5023,play_on,27.8834,20.9654,left,11,5030,27.949,4.5106,true
Dribble,left,11,5030,play_on,27.949,4.5106,left,11,5033,30.0408,3.7024,true
Pass,left,11,5034,play_on,29.1869,2.6167,left,7,5041,23.334,-3.61,true
Pass,left,7,5043,play_on,23.7239,-3.2288,left,9,5049,30.9705,10.0752,true
Pass,left,9,5051,play_on,31.2161,9.4878,left,11,5054,31.4315,2.2612,true
Dribble,left,11,5054,play_on,31.4315,2.2612,left,11,5056,32.2796,1.5953,true
Dribble,left,11,5056,play_on,32.2796,1.5953,left,11,5058,33.3579,2.218,true
Dribble,left,11,5058,play_on,33.3579,2.218,left,11,5062,35.308,2.5919,true
MultiTouch,left,11,5063,play_on,34.48,2.8179,neutral,-1,5065,35.6549,2.5352,false
Interception,right,3,5068,play_on,37.9622,1.8308,left,11,5069,38.3845,1.7474,true
Interception,left,11,5069,play_on,38.3845,1.7474,right,1,5073,47.314,3.3242,true
OutOfBounds,right,1,5073,play_on,47.314,3.3242,neutral,-1,5100,51.5,33,false
Pass,left,9,5197,corner_kick_l,51.5,33,left,8,5202,45.2577,26.7235,true
MultiTouch,left,8,5202,play_on,45.2577,26.7235,neutral,-1,5208,48.6163,24.5895,false
OutOfBounds,left,8,5208,play_on,48.6163,24.5895,neutral,-1,5218,47,9.16,false
Pass,right,2,5245,goal_kick_r,47,9.16,right,4,5252,42.6,24.1535,true
Dribble,right,4,5252,play_on,42.6,24.1535,right,4,5258,39.8654,26.8229,true
Pass,right,4,5260,play_on,39.3123,26.6868,right,9,5267,23.4722,29.4777,true
Dribble,right,9,5271,play_on,23.1517,29.644,right,9,5275,20.1109,29.345,true
Dribble,right,9,5275,play_on,20.1109,29.345,right,9,5280,16.4393,29.4081,true
Dribble,right,9,5280,play_on,16.4393,29.4081,right,9,5285,12.6832,29.4656,true
Dribble,right,9,5285,play_on,12.6832,29.4656,right,9,5289,9.5152,29.5485,true
Dribble,right,9,5289,play_on,9.5152,29.5485,right,9,5295,4.9131,29.1113,true
